trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.started,text.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.416403713999898,14.909910204994958,space,1.2497394239908317,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
1,0,1,0,15.677800930003286,16.157201552996412,space,0.8494091620086692,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
2,0,2,0,16.545838944002753,17.02381891400728,space,0.7019965439976659,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
3,0,3,0,17.258764276994043,17.740060834999895,space,0.6654742450045887,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
4,0,4,0,17.942938092994154,18.423387513001217,space,0.8154073640034767,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
5,0,5,0,18.776602470999933,19.256763281999156,space,0.7004239420057274,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
6,0,6,0,19.49224485299783,19.973282691003988,space,0.7892202349903528,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
7,0,7,0,20.292109289002838,20.773478917995817,space,0.6800207369960845,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
8,0,8,0,20.98634445600328,21.469494283999666,space,0.4884908850071952,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
9,0,9,0,21.486020423995797,21.973533765994944,space,0.782905704996665,3,001,2022-12-19_09h07.23.433,eksp_dane,2022.2.4,None,
