id,pobudzenie,walencja,wynik
0,niski,pozytywny,5.400136344298176
1,niski,pozytywny,4.785150625957913
2,niski,pozytywny,5.3924062268705155
3,niski,pozytywny,6.703811550236477
4,niski,pozytywny,5.689031921061454
5,niski,pozytywny,5.445414699410021
6,niski,pozytywny,3.8015465774878394
7,niski,pozytywny,6.619294800944171
8,niski,pozytywny,5.946134723557734
9,niski,pozytywny,7.114293710760289
10,niski,pozytywny,5.480777252735793
11,niski,pozytywny,7.272071429648781
12,niski,pozytywny,4.723699002747336
13,niski,pozytywny,5.475749111350893
14,niski,pozytywny,4.990945353361184
15,niski,pozytywny,8.466418998071344
16,niski,pozytywny,6.231354720522924
17,niski,pozytywny,6.050910604994596
18,niski,pozytywny,5.26496728732407
19,niski,pozytywny,4.920320799347575
20,niski,pozytywny,6.3346484952934645
21,niski,pozytywny,4.943383108165824
22,niski,pozytywny,6.129344623966969
23,niski,pozytywny,5.110610723226323
24,niski,pozytywny,5.546617656525118
25,niski,pozytywny,7.272260278989189
26,niski,pozytywny,6.182315656495544
27,niski,pozytywny,6.874948218002226
28,niski,pozytywny,7.26102894506657
29,niski,pozytywny,5.968365432175367
30,niski,negatywny,5.438824518648179
31,niski,negatywny,4.582454697105234
32,niski,negatywny,2.5287018071205134
33,niski,negatywny,3.905496004140307
34,niski,negatywny,4.406228196121403
35,niski,negatywny,3.9218164171417875
36,niski,negatywny,4.452356303943858
37,niski,negatywny,2.242509411847991
38,niski,negatywny,3.3867498036812296
39,niski,negatywny,4.155255899047533
40,niski,negatywny,5.308856988362034
41,niski,negatywny,1.9276568149266087
42,niski,negatywny,2.7536168007451547
43,niski,negatywny,2.995019562799523
44,niski,negatywny,4.247548980219085
45,niski,negatywny,5.293936513389861
46,niski,negatywny,4.546546143948905
47,niski,negatywny,3.5214601356424335
48,niski,negatywny,3.0664756704533187
49,niski,negatywny,5.586229725582397
50,niski,negatywny,4.317574451696464
51,niski,negatywny,3.4631433083141046
52,niski,negatywny,4.605024347277274
53,niski,negatywny,3.533641181936487
54,niski,negatywny,4.932366341815591
55,niski,negatywny,2.4314627601160064
56,niski,negatywny,3.4598029356706763
57,niski,negatywny,3.6682762043380874
58,niski,negatywny,4.2286300971131405
59,niski,negatywny,2.6113061832490847
60,wysoki,pozytywny,4.504048783620974
61,wysoki,pozytywny,5.377070409923154
62,wysoki,pozytywny,6.31568194177887
63,wysoki,pozytywny,5.9213051121501685
64,wysoki,pozytywny,8.112367837471119
65,wysoki,pozytywny,5.244113303202926
66,wysoki,pozytywny,4.095634351330494
67,wysoki,pozytywny,6.38295707074979
68,wysoki,pozytywny,5.343361913869021
69,wysoki,pozytywny,4.1656601745561215
70,wysoki,pozytywny,2.6353762628329664
71,wysoki,pozytywny,5.562686845400017
72,wysoki,pozytywny,6.662499451595721
73,wysoki,pozytywny,6.499818830840682
74,wysoki,pozytywny,6.4548114831484735
75,wysoki,pozytywny,6.386335302389781
76,wysoki,pozytywny,5.603528657208815
77,wysoki,pozytywny,6.738275086803708
78,wysoki,pozytywny,5.499122440934816
79,wysoki,pozytywny,5.4619616722619
80,wysoki,pozytywny,9.194827936169906
81,wysoki,pozytywny,6.176970744390366
82,wysoki,pozytywny,6.93133615511474
83,wysoki,pozytywny,5.826933795120721
84,wysoki,pozytywny,6.665952617248744
85,wysoki,pozytywny,5.4294938188213
86,wysoki,pozytywny,6.756250697343533
87,wysoki,pozytywny,6.434704526358333
88,wysoki,pozytywny,5.81106661345741
89,wysoki,pozytywny,5.489802676251891
90,wysoki,negatywny,4.029716695252945
91,wysoki,negatywny,3.7629988678554933
92,wysoki,negatywny,4.203499908275938
93,wysoki,negatywny,5.513817296584396
94,wysoki,negatywny,2.755239725216591
95,wysoki,negatywny,4.303475403746976
96,wysoki,negatywny,6.0704512516307005
97,wysoki,negatywny,4.672975238130694
98,wysoki,negatywny,3.830257368290212
99,wysoki,negatywny,5.389261465853668
100,wysoki,negatywny,5.187590917429616
101,wysoki,negatywny,2.8482607003553655
102,wysoki,negatywny,3.952728264537242
103,wysoki,negatywny,4.948609170293588
104,wysoki,negatywny,4.422170596085056
105,wysoki,negatywny,1.8381119388454037
106,wysoki,negatywny,4.083883351483887
107,wysoki,negatywny,4.144960840910626
108,wysoki,negatywny,3.2456074326693667
109,wysoki,negatywny,5.434403921691651
110,wysoki,negatywny,3.8170004878730652
111,wysoki,negatywny,4.3689449451224025
112,wysoki,negatywny,4.767164315966756
113,wysoki,negatywny,3.6237477655799926
114,wysoki,negatywny,3.14097411559308
115,wysoki,negatywny,3.3367515310897145
116,wysoki,negatywny,2.74434424995051
117,wysoki,negatywny,5.096575928690082
118,wysoki,negatywny,4.190163621851811
119,wysoki,negatywny,3.1748431477706696
