,pobudzenie,walencja,wynik
0,niski,pozytywny,1.5908414595339495
1,niski,pozytywny,0.004421988143341826
2,niski,pozytywny,1.201319108793315
3,niski,pozytywny,1.1679843005025268
4,niski,pozytywny,0.5891325132695531
5,niski,pozytywny,0.1716921487244637
6,niski,pozytywny,1.6380703184644343
7,niski,pozytywny,1.9605741582045026
8,niski,pozytywny,0.17182871308892012
9,niski,pozytywny,2.106681724188583
10,niski,pozytywny,-0.016736600623712627
11,niski,pozytywny,-0.10570783128801442
12,niski,pozytywny,0.8479760479991408
13,niski,pozytywny,0.5728211758361976
14,niski,pozytywny,1.8026445508322588
15,niski,pozytywny,2.357199927066447
16,niski,pozytywny,1.200712957890562
17,niski,pozytywny,1.268168892725022
18,niski,pozytywny,0.0459594646260898
19,niski,pozytywny,2.593107166119937
20,niski,pozytywny,0.036371361553708126
21,niski,pozytywny,0.5835903993799421
22,niski,pozytywny,2.787442486723983
23,niski,pozytywny,0.964965371258387
24,niski,pozytywny,0.07968511426673708
25,niski,pozytywny,2.1367561755584052
26,niski,pozytywny,2.4292745009047474
27,niski,pozytywny,0.30816586498804055
28,niski,pozytywny,1.0621085089199482
29,niski,pozytywny,-0.505562256816183
30,niski,negatywny,6.577412208511405
31,niski,negatywny,5.970550182452634
32,niski,negatywny,7.265026329242627
33,niski,negatywny,6.476461912831657
34,niski,negatywny,7.751652210434613
35,niski,negatywny,6.918641816753984
36,niski,negatywny,6.249384883583236
37,niski,negatywny,5.338670339802108
38,niski,negatywny,6.769253198248356
39,niski,negatywny,7.32081253433386
40,niski,negatywny,7.456242952699598
41,niski,negatywny,6.8833053252993475
42,niski,negatywny,5.098249915187109
43,niski,negatywny,7.538605073091039
44,niski,negatywny,5.896763801711282
45,niski,negatywny,7.081768180779853
46,niski,negatywny,8.942363979583178
47,niski,negatywny,6.605404749323187
48,niski,negatywny,6.760655451808128
49,niski,negatywny,6.705707567601643
50,niski,negatywny,6.385088213952304
51,niski,negatywny,7.41808666731685
52,niski,negatywny,6.835927514543155
53,niski,negatywny,6.873297448815472
54,niski,negatywny,7.314343453368591
55,niski,negatywny,7.004006989709145
56,niski,negatywny,7.209228150553107
57,niski,negatywny,6.395609156711643
58,niski,negatywny,6.560555647766184
59,niski,negatywny,7.582421227099071
60,wysoki,pozytywny,6.591864490521131
61,wysoki,pozytywny,8.485901988450488
62,wysoki,pozytywny,7.102402970165037
63,wysoki,pozytywny,7.6004518532441985
64,wysoki,pozytywny,7.954587380392685
65,wysoki,pozytywny,7.08283905282689
66,wysoki,pozytywny,7.708220424135342
67,wysoki,pozytywny,8.476985427905054
68,wysoki,pozytywny,5.618318098335489
69,wysoki,pozytywny,7.795574259566075
70,wysoki,pozytywny,5.475416684784864
71,wysoki,pozytywny,6.6103708525503775
72,wysoki,pozytywny,6.603336728449329
73,wysoki,pozytywny,7.858509832780885
74,wysoki,pozytywny,5.568524752811404
75,wysoki,pozytywny,7.568607371454526
76,wysoki,pozytywny,7.155632607339922
77,wysoki,pozytywny,7.604444272585972
78,wysoki,pozytywny,6.493737709627994
79,wysoki,pozytywny,7.032546972472758
80,wysoki,pozytywny,5.696518088282018
81,wysoki,pozytywny,5.776610921454376
82,wysoki,pozytywny,6.835617488567719
83,wysoki,pozytywny,6.67550800061026
84,wysoki,pozytywny,6.601394486478166
85,wysoki,pozytywny,7.991483894341218
86,wysoki,pozytywny,6.688523189213413
87,wysoki,pozytywny,8.2422645331993
88,wysoki,pozytywny,7.952371982030199
89,wysoki,pozytywny,7.085174326187806
90,wysoki,negatywny,1.8060292795605037
91,wysoki,negatywny,1.9656566510702291
92,wysoki,negatywny,2.2044527799539217
93,wysoki,negatywny,3.246654507314477
94,wysoki,negatywny,0.4892896059946148
95,wysoki,negatywny,0.3506763998587449
96,wysoki,negatywny,-0.720123053097601
97,wysoki,negatywny,0.919408320220695
98,wysoki,negatywny,-0.48236198319000057
99,wysoki,negatywny,2.6513051671867665
100,wysoki,negatywny,2.164101387781179
101,wysoki,negatywny,2.2877599019278323
102,wysoki,negatywny,1.5578621267117243
103,wysoki,negatywny,1.0295274244269268
104,wysoki,negatywny,0.7975350695542268
105,wysoki,negatywny,-0.23941394625177836
106,wysoki,negatywny,0.4276491104648884
107,wysoki,negatywny,-1.5018897906097832
108,wysoki,negatywny,0.94844331554805
109,wysoki,negatywny,-0.9900322138751383
110,wysoki,negatywny,0.9119726608003578
111,wysoki,negatywny,0.8606320696493306
112,wysoki,negatywny,1.767448131410235
113,wysoki,negatywny,0.5814203449200013
114,wysoki,negatywny,2.66782439474834
115,wysoki,negatywny,0.2696602486253026
116,wysoki,negatywny,1.0295327414707258
117,wysoki,negatywny,0.806881173258821
118,wysoki,negatywny,1.0932218532105318
119,wysoki,negatywny,1.7923959843058461
